brightness,frp,R2
311.4,40.2,0.158792686
310.2,33.5,
310.1,36,
310.4,28.2,
314.3,43.5,
317.1,71.9,
314,37.7,
309.1,24.2,
312.2,48.3,
312.2,39.6,
315.3,49.2,
310.3,18.3,
310.6,27.5,
316.2,20.4,
324.1,15.1,
334.5,29,
333.1,24.2,
322.2,11,
319,7.1,
316.7,6.4,
334.2,27.3,
316.5,5.1,
321.6,9.9,
316.6,4.8,
322.3,23.5,
317.7,9.9,
317.5,5.7,
323.4,11.8,
320.8,8.9,
330.7,20.9,
319.2,7.2,
382.2,164.7,
371.4,119.3,
323.6,14.9,
370,115.6,
348.6,53.1,
317.6,8.5,
320.9,11,
310,4.7,
315,8.7,
309.3,8.6,
301.5,3.7,
315.2,13.3,
314.4,18.3,
312.2,15.7,
316.1,21.2,
303.1,8.1,
319.7,35.7,
327.6,19.4,
322,12,
323.4,14.4,
322.1,24.5,
320.4,32.2,
323.7,29.4,
341.8,86.6,
323.4,48.1,
321.8,17.3,
324.7,24,
328.3,47.8,
343.2,120.4,
352.4,187.3,
320.2,16.3,
320.4,31.9,
321.4,24.7,
332.5,64.9,
319.6,20.1,
322.4,29,
327.5,45,
319.9,20.7,
327.5,34,
328.3,23.5,
323.9,11.8,
349.2,69.2,
363.1,121.3,
322,11.3,
331.4,27.5,
336.2,35.5,
330.6,22.8,
350.1,75.3,
337.4,40,
338.8,43.6,
326.5,13,
321.6,14.3,
335.3,31.4,
334.2,25.6,
349.4,101.4,
360.1,110.4,
329.7,20.3,
322.2,13.5,
335.1,33,
346.6,61.1,
344.9,84.3,
371.5,166.9,
381.3,222.5,
322.9,14.6,
370.4,153.6,
343.4,46.8,
344.9,76,
326.7,15,
329.7,21.6,
347.1,89.3,
347,69.2,
375.8,192.2,
319.9,10.4,
359.2,105,
323.2,15.8,
345.7,84.9,
362.5,123.4,
377.6,201,
354.2,124.7,
329,19,
327.3,19.1,
320.9,29.4,
347.3,65.7,
335.3,32.7,
326.1,48.5,
323.6,18.5,
326.8,28.8,
321.4,31.4,
325,17.2,
318,28.4,
326.1,36.7,
323.3,25.4,
323.5,26.2,
323.4,26.5,
325.8,60.8,
328.4,77,
321.2,39.5,
326.1,67.5,
328.8,93.5,
322.2,53.6,
323.3,65.2,
333.7,28.6,
353.2,81.7,
345.4,57,
333.5,27.3,
326.9,15.5,
330.3,20.9,
327.1,17.5,
325.3,10.5,
329.6,20.6,
330.1,15.4,
338.6,27.6,
326.9,10.6,
352.2,54.7,
338.8,26.7,
340.5,35.9,
352,59.8,
354.7,64.9,
349.2,52,
323.8,8.8,
353.3,63.7,
374.8,133.1,
327.7,18.2,
342.9,48.9,
334,28.5,
339.4,40.9,
337.4,36,
330.5,21,
313.6,9.2,
302.7,11.5,
318.4,90.9,
316.4,76.9,
322.4,16.6,
316.3,10.8,
316.1,9.6,
324.2,17.8,
304.5,4.4,
311.9,5.3,
330.5,83.6,
319.8,67.8,
320.6,36.8,
322.9,50.3,
320.9,42.7,
321,44.6,
328.9,35.5,
326.6,9.7,
337.1,68.7,
325.2,20.1,
323.3,21.2,
333.7,53.7,
338.9,76.3,
328.4,37.5,
341.2,91,
327.5,30.2,
335.6,62.8,
345.2,113.3,
333.6,53.9,
342.7,103.2,
328.1,34.6,
323.9,23.5,
328.9,14.1,
338.1,118.9,
337.5,119.4,
328.4,73.7,
340.9,146,
332.5,89.9,
332.4,102.4,
322.5,49.4,
327.7,8.8,
339.7,25.7,
326.6,7.9,
333.6,15.6,
334.6,17.1,
326.2,6.9,
335.6,19.5,
334.5,17.5,
334.3,17.7,
339.7,25.2,
332.9,14.2,
332.3,32.9,
333.4,37.9,
341.1,68.5,
339.6,61.4,
335.2,15.1,
337.5,47.7,
332.8,10.9,
333.5,36.7,
334.8,24.5,
330.3,17.3,
333,21.1,
322.4,11.6,
319,36.3,
331.1,13.4,
332.2,14.9,
328.3,11.4,
327.3,10.7,
329.8,10.4,
